seller_code,seller_name,category,state,orders,delivered,rto_orders,rto_pct,avoidable_rto_orders_to_25pct
S006,Seller F,Sarees / Ethnic Fashion,Jharkhand,576,320,256,44.44444444444444,112.0
S006,Seller F,Sarees / Ethnic Fashion,Karnataka,21691,14983,6708,30.92526854455765,1285.25
S006,Seller F,Sarees / Ethnic Fashion,Kerala,18966,14919,4047,21.338184118949695,0.0
S006,Seller F,Sarees / Ethnic Fashion,Madhya Pradesh,1717,1031,686,39.95340710541642,256.75
S006,Seller F,Sarees / Ethnic Fashion,Maharashtra,26256,18113,8143,31.01386349786716,1579.0
S006,Seller F,Sarees / Ethnic Fashion,Meghalaya,57,37,20,35.08771929824561,5.75
S006,Seller F,Sarees / Ethnic Fashion,Orissa,1895,1083,812,42.849604221635886,338.25
S006,Seller F,Sarees / Ethnic Fashion,Pondicherry,977,703,274,28.04503582395087,29.75
S006,Seller F,Sarees / Ethnic Fashion,Punjab,479,276,203,42.37995824634656,83.25
S006,Seller F,Sarees / Ethnic Fashion,Rajasthan,1478,919,559,37.82138024357239,189.5
S006,Seller F,Sarees / Ethnic Fashion,Sikkim,72,41,31,43.05555555555556,13.0
S006,Seller F,Sarees / Ethnic Fashion,TELANGANA,12013,8075,3938,32.78115375010405,934.75
S006,Seller F,Sarees / Ethnic Fashion,Tamil Nadu,28340,20195,8145,28.74029640084686,1060.0
S006,Seller F,Sarees / Ethnic Fashion,Tripura,362,196,166,45.85635359116022,75.5
S006,Seller F,Sarees / Ethnic Fashion,Uttar Pradesh,3762,2168,1594,42.37107921318447,653.5
S006,Seller F,Sarees / Ethnic Fashion,Uttarakhand,673,413,260,38.632986627043095,91.75
S006,Seller F,Sarees / Ethnic Fashion,West Bengal,2972,1875,1097,36.911170928667566,354.0
S006,Seller F,Sarees / Ethnic Fashion,,93,65,28,30.107526881720432,4.75
