seller_code,seller_name,category,orders,nmv,profit,profit_margin_pct,rto_pct_weighted,cancel_pct_weighted,marketing_spend,gmv,roas,cpo,ctr_pct
S001,Seller A,Women's Bras,25740,11223780.34,504179.8899999999,4.492068400547475,29.7359898989899,7.413418803418802,3106042.0,16400233.0,5.2801066437607735,119.65183558688702,3.1587889276269494
S002,Seller B,Bedsheets,5926,3695520.73,198855.53000000003,5.380988080670299,22.155961862976717,8.605636179547755,790242.0,5147231.0,6.513487007777364,123.86238244514108,6.366703378504857
S003,Seller C,Walkie-talkies / Electronics,18441,50586986.010000005,1430034.55,2.8268822928436808,44.86230464725341,40.509456645518135,10955203.0,145767724.0,13.305798532441615,390.0730995193164,1.5483024763825597
S004,Seller D,Plants / Gardening,24944,6500273.68,-55330.41000000002,-0.8512012374223606,42.96785198845414,24.94515755291854,2166583.0,14521570.0,6.702521897384037,69.0962814134456,3.700660941082031
S005,Seller E,Jewellery,29745,12389516.2,19961.980000000003,0.1611199313819857,34.78215162212137,15.584364094805853,2872492.0,19294529.0,6.717000082158627,96.47328295549958,4.450550500938809
S006,Seller F,Sarees / Ethnic Fashion,35209,22224254.27,-727138.3800000001,-3.2718235274222325,37.7516137919282,15.72114175352893,6787305.0,41351373.0,6.092458346869634,173.6327705295472,3.428995852990567
