seller_code,seller_name,category,first8_nmv,last8_nmv,nmv_growth_pct,first8_profit,last8_profit,profit_change
S001,Seller A,Women's Bras,2690000.0,1280241.34,-52.40738513011153,163036.02,-3756.920000000002,-166792.94
S002,Seller B,Bedsheets,183562.0,1406504.73,666.2287020189364,1593.1799999999998,71391.83,69798.65000000001
S003,Seller C,Walkie-talkies / Electronics,8407910.0,8025526.01,-4.547907744017243,937617.38,-162882.81999999998,-1100500.2
S004,Seller D,Plants / Gardening,310070.0,2547217.68,721.4976231173605,38099.98,-33249.21000000001,-71349.19
S005,Seller E,Jewellery,1204825.0,1435682.2,19.161056584981218,55178.61,-63501.72,-118680.33
S006,Seller F,Sarees / Ethnic Fashion,1994297.0,3316537.27,66.3010710039678,-19677.450000000004,45869.740000000005,65547.19
